phase,iter,timesteps_total,episodes_total,episode_reward_mean,episode_reward_min,episode_reward_max,policy_reward_mean/p_top,policy_reward_mean/p_bottom,policy_reward_mean/a,mean_tax/p_top,mean_tax/p_bottom,social_welfare_coin_eq_times_prod
PHASE 1,0,200,0,,,,,,,0.0,0.0,0.0
PHASE 1,1,400,0,,,,,,,0.0,0.0,0.0
PHASE 1,2,600,0,,,,,,,0.0,0.0,0.0
PHASE 1,3,800,0,,,,,,,0.0,0.0,0.0
PHASE 1,4,1000,1,87.28595486419667,87.28595486419667,87.28595486419667,51.18333333333523,34.98333333333413,0.1399110246912585,0.0,0.0,0.0
PHASE 2,0,200,0,,,,,,,0.02857142857142857,0.03571428571428571,0.0
PHASE 2,1,400,0,,,,,,,0.03928571428571428,0.014285714285714287,0.0
PHASE 2,2,600,0,,,,,,,0.024999999999999998,0.025,0.0
PHASE 2,3,800,0,,,,,,,0.03214285714285714,0.028571428571428574,0.0
PHASE 2,4,1000,1,258.953702693668,258.953702693668,258.953702693668,72.43609375000122,71.92239583333414,14.324401638793647,0.0,0.0,0.0
PHASE 2,5,1200,1,258.953702693668,258.953702693668,258.953702693668,72.43609375000122,71.92239583333414,14.324401638793647,0.028571428571428574,0.021428571428571432,0.0
PHASE 2,6,1400,1,258.953702693668,258.953702693668,258.953702693668,72.43609375000122,71.92239583333414,14.324401638793647,0.024999999999999998,0.03214285714285714,0.0
PHASE 2,7,1600,1,258.953702693668,258.953702693668,258.953702693668,72.43609375000122,71.92239583333414,14.324401638793647,0.03214285714285714,0.014285714285714287,0.0
PHASE 2,8,1800,1,258.953702693668,258.953702693668,258.953702693668,72.43609375000122,71.92239583333414,14.324401638793647,0.028571428571428574,0.017857142857142856,0.0
PHASE 2,9,2000,2,188.69526503133028,118.43682736899258,258.953702693668,56.485130208334574,60.36161458333422,8.98106502995886,0.0,0.0,0.0
PHASE 2,10,2200,2,188.69526503133028,118.43682736899258,258.953702693668,56.485130208334574,60.36161458333422,8.98106502995886,0.014285714285714287,0.021428571428571432,0.0
PHASE 2,11,2400,2,188.69526503133028,118.43682736899258,258.953702693668,56.485130208334574,60.36161458333422,8.98106502995886,0.02857142857142857,0.03571428571428571,0.0
PHASE 2,12,2600,2,188.69526503133028,118.43682736899258,258.953702693668,56.485130208334574,60.36161458333422,8.98106502995886,0.02142857142857143,0.02142857142857143,0.0
PHASE 2,13,2800,2,188.69526503133028,118.43682736899258,258.953702693668,56.485130208334574,60.36161458333422,8.98106502995886,0.021428571428571432,0.014285714285714287,0.0
PHASE 2,14,3000,3,171.7786303978521,118.43682736899258,258.953702693668,43.2539409722238,53.8817013888901,9.330373504593185,0.0,0.0,0.0
PHASE 3A,0,200,0,,,,,,,0.13214285714285717,0.3892857142857143,0.0
PHASE 3A,1,400,0,,,,,,,0.2178571428571429,0.37857142857142856,0.0
PHASE 3A,2,600,0,,,,,,,0.25,0.2642857142857143,0.0
PHASE 3A,3,800,0,,,,,,,0.25000000000000006,0.2785714285714286,0.0
PHASE 3A,4,1000,1,230.21343886081326,230.21343886081326,230.21343886081326,89.77255243056105,88.46919534618102,6.496461385509635,0.0,0.0,0.0
PHASE 3B,0,200,0,,,,,,,0.18571428571428575,0.21428571428571427,0.0
PHASE 3B,1,400,0,,,,,,,0.23571428571428574,0.17500000000000002,0.0
PHASE 3B,2,600,0,,,,,,,0.1535714285714286,0.28214285714285714,0.0
PHASE 3B,3,800,0,,,,,,,0.3321428571428572,0.16428571428571428,0.0
PHASE 3B,4,1000,1,330.1532884081374,330.1532884081374,330.1532884081374,109.40653744444501,115.88211000000061,13.108080120462027,0.0,0.0,0.0
PHASE 3B,5,1200,1,330.1532884081374,330.1532884081374,330.1532884081374,109.40653744444501,115.88211000000061,13.108080120462027,0.20357142857142857,0.19999999999999998,0.0
PHASE 3B,6,1400,1,330.1532884081374,330.1532884081374,330.1532884081374,109.40653744444501,115.88211000000061,13.108080120462027,0.25000000000000006,0.2928571428571428,0.0
PHASE 3B,7,1600,1,330.1532884081374,330.1532884081374,330.1532884081374,109.40653744444501,115.88211000000061,13.108080120462027,0.2,0.2535714285714286,0.0
PHASE 3B,8,1800,1,330.1532884081374,330.1532884081374,330.1532884081374,109.40653744444501,115.88211000000061,13.108080120462027,0.2571428571428572,0.22500000000000003,0.0
PHASE 3B,9,2000,2,341.69160128145484,330.1532884081374,353.22991415477225,81.79996368316037,150.4558479687513,13.67947370369344,0.0,0.0,0.0
PHASE 3B,10,2200,2,341.69160128145484,330.1532884081374,353.22991415477225,81.79996368316037,150.4558479687513,13.67947370369344,0.30357142857142855,0.275,0.0
PHASE 3B,11,2400,2,341.69160128145484,330.1532884081374,353.22991415477225,81.79996368316037,150.4558479687513,13.67947370369344,0.27142857142857146,0.23571428571428577,0.0
PHASE 3B,12,2600,2,341.69160128145484,330.1532884081374,353.22991415477225,81.79996368316037,150.4558479687513,13.67947370369344,0.23214285714285715,0.23214285714285715,0.0
PHASE 3B,13,2800,2,341.69160128145484,330.1532884081374,353.22991415477225,81.79996368316037,150.4558479687513,13.67947370369344,0.21071428571428572,0.2464285714285714,0.0
PHASE 3B,14,3000,3,327.11867200227783,297.9728134439239,353.22991415477225,88.4917775075238,133.1463201736128,13.185071790143203,0.0,0.0,0.0
