phase,iter,timesteps_total,episodes_total,episode_reward_mean,episode_reward_min,episode_reward_max,policy_reward_mean/p_top,policy_reward_mean/p_bottom,policy_reward_mean/a,social_welfare_coin_eq_times_prod
PHASE 1,0,800,0,,,,,,,68.2500000000003
PHASE 1,1,1600,1,248.6940300307735,248.6940300307735,248.6940300307735,88.0000000000013,62.00000000000124,12.33675375384759,36.07142857142901
PHASE 1,2,2400,2,222.50237021352063,196.31071039626778,248.6940300307735,72.66666666666825,62.41666666666785,10.927379610024145,17.500000000000547
PHASE 1,3,3200,3,220.75781645137099,196.31071039626778,248.6940300307735,73.55555555555696,59.833333333334714,10.921115945310987,13.714285714286255
PHASE 1,4,4000,4,270.50679522795957,196.31071039626778,419.7537315577255,81.00000000000134,71.87500000000135,14.703974403496186,0.0
PHASE 1,5,4800,4,270.5067952279596,196.31071039626778,419.7537315577255,81.00000000000135,71.87500000000135,14.703974403496185,95.53571428571455
PHASE 1,6,5600,5,302.23292309967036,196.31071039626778,429.1374345865136,88.50000000000134,77.1000000000013,17.079115387460234,44.92857142857172
PHASE 1,7,6400,6,305.4105461633307,196.31071039626778,429.1374345865136,86.55555555555692,79.72222222222346,17.391596048195378,50.4285714285718
PHASE 1,8,7200,7,324.85529117519343,196.31071039626778,441.52376124636925,85.0476190476205,82.90476190476319,19.612863777853114,12.285714285714736
PHASE 1,9,8000,8,337.666242962233,196.31071039626778,441.52376124636925,84.93750000000138,91.91666666666787,20.101509536947514,0.0
PHASE 1,10,8800,8,337.666242962233,196.31071039626778,441.52376124636925,84.93750000000139,91.91666666666788,20.101509536947514,72.85714285714319
PHASE 1,11,9600,9,341.57020367717286,196.31071039626778,441.52376124636925,85.0740740740755,91.62962962963083,20.608312496685322,86.10714285714309
PHASE 1,12,10400,10,380.01171402530923,196.31071039626778,725.9853071585369,87.68333333333476,106.2166666666678,23.263964253164982,63.00000000000032
PHASE 1,13,11200,11,403.54405851485046,196.31071039626778,725.9853071585369,93.40909090909234,109.96969696969808,25.020658829508896,12.428571428571914
PHASE 1,14,12000,12,420.42550675201977,196.31071039626778,725.9853071585369,99.38888888889032,108.69444444444555,26.54277167733676,0.0
PHASE 1,15,12800,12,420.42550675201977,196.31071039626778,725.9853071585369,99.38888888889032,108.69444444444555,26.542771677336763,66.9642857142861
PHASE 1,16,13600,13,416.73922318818524,196.31071039626778,725.9853071585369,98.07692307692453,106.24358974359089,26.55233879596007,86.89285714285745
PHASE 1,17,14400,14,427.12114208003686,196.31071039626778,725.9853071585369,101.1666666666681,105.63095238095353,27.54044037905314,73.71428571428602
PHASE 1,18,15200,15,451.36031468481383,196.31071039626778,790.7087311516915,108.65555555555694,109.87777777777895,29.103372668935595,39.10714285714317
PHASE 1,19,16000,16,489.42254159606193,196.31071039626778,1060.3559452647833,118.19791666666805,118.48958333333447,31.591880199508015,0.0
PHASE 1,20,16800,16,489.422541596062,196.31071039626778,1060.3559452647833,118.19791666666805,118.48958333333445,31.59188019950802,98.1071428571432
PHASE 1,21,17600,17,490.7164711769553,196.31071039626778,1060.3559452647833,122.66666666666801,115.11764705882467,31.61651968143344,96.82142857142877
PHASE 1,22,18400,18,487.5442486920564,196.31071039626778,1060.3559452647833,123.03703703703837,113.63888888889005,31.358540345766713,54.82142857142893
PHASE 1,23,19200,19,497.3184501984453,196.31071039626778,1060.3559452647833,128.67543859649257,111.79824561403625,32.105595748490195,33.178571428571765
PHASE 1,24,20000,20,520.5056473275488,196.31071039626778,1060.3559452647833,133.74166666666798,117.95000000000114,33.601747582610145,0.0
PHASE 1,25,20800,20,520.5056473275488,196.31071039626778,1060.3559452647833,133.74166666666798,117.95000000000114,33.601747582610145,124.57142857142891
PHASE 1,26,21600,21,529.0504313324742,196.31071039626778,1060.3559452647833,132.7619047619061,122.11904761904873,34.27118486894,142.00000000000017
PHASE 1,27,22400,22,552.1052530394479,196.31071039626778,1060.3559452647833,138.03030303030434,128.4924242424253,35.69781572083963,91.21428571428594
PHASE 1,28,23200,23,558.0469621736835,196.31071039626778,1060.3559452647833,140.18840579710272,129.5579710144938,36.03757317026045,13.464285714286241
PHASE 1,29,24000,24,568.6915466215609,196.31071039626778,1060.3559452647833,142.36111111111236,132.1666666666677,36.770471105471984,0.0
PHASE 1,30,24800,24,568.691546621561,196.31071039626778,1060.3559452647833,142.36111111111236,132.1666666666677,36.770471105471984,175.39285714285734
PHASE 1,31,25600,25,582.4484318569355,196.31071039626778,1060.3559452647833,143.96666666666792,137.4666666666677,37.62688731544917,163.607142857143
PHASE 1,32,26400,26,605.1055531296656,196.31071039626778,1171.5335849479197,150.0897435897448,142.85256410256514,39.02040567966864,93.46428571428588
PHASE 1,33,27200,27,614.7487714116849,196.31071039626778,1171.5335849479197,156.46296296296418,141.69135802469236,39.57430630300256,15.78571428571472
PHASE 1,34,28000,28,630.8914330948055,196.31071039626778,1171.5335849479197,161.2380952380964,144.8154761904772,40.60473270827799,0.0
PHASE 1,35,28800,28,630.8914330948055,196.31071039626778,1171.5335849479197,161.2380952380964,144.8154761904772,40.60473270827799,205.96428571428595
PHASE 1,36,29600,29,646.0002995702706,196.31071039626778,1171.5335849479197,165.95977011494367,146.48275862069065,41.694721354328536,118.96428571428598
PHASE 1,37,30400,30,654.686163336935,196.31071039626778,1171.5335849479197,168.33888888889004,148.15555555555656,42.27396486155997,75.96428571428596
PHASE 1,38,31200,31,659.1965660073844,196.31071039626778,1171.5335849479197,169.30107526881835,149.20430107526983,42.58639870791087,32.89285714285751
PHASE 1,39,32000,32,673.0887312599842,196.31071039626778,1171.5335849479197,171.3697916666678,153.56770833333434,43.51890390749658,0.0
PHASE 1,40,32800,32,673.0887312599842,196.31071039626778,1171.5335849479197,171.36979166666782,153.56770833333434,43.51890390749658,177.67857142857167
PHASE 1,41,33600,33,682.0381087459014,196.31071039626778,1171.5335849479197,170.50505050505163,158.2323232323242,44.16259187606442,123.71428571428598
PHASE 1,42,34400,34,685.1935820569702,196.31071039626778,1171.5335849479197,169.58823529411876,159.9362745098049,44.45863403162945,75.71428571428604
PHASE 1,43,35200,35,690.2412144954471,196.31071039626778,1171.5335849479197,170.19047619047734,161.28095238095332,44.84622324050061,40.32142857142887
PHASE 1,44,36000,36,682.2817766727684,196.31071039626778,1171.5335849479197,168.6851851851863,158.81018518518613,44.34830078779814,0.0
PHASE 1,45,36800,36,682.2817766727684,196.31071039626778,1171.5335849479197,168.68518518518636,158.81018518518616,44.34830078779814,129.67857142857164
PHASE 1,46,37600,37,678.8741876251884,196.31071039626778,1171.5335849479197,169.0675675675687,156.95495495495592,44.10645813783158,85.25000000000031
PHASE 1,47,38400,38,672.8097723971198,196.31071039626778,1171.5335849479197,166.48684210526432,156.24561403508866,43.75966453209455,91.6785714285717
