phase,iter,timesteps_total,episodes_total,episode_reward_mean,episode_reward_min,episode_reward_max,policy_reward_mean/p_top,policy_reward_mean/p_bottom,policy_reward_mean/a,social_welfare_coin_eq_times_prod
PHASE 1,0,800,0,,,,,,,36.53571428571457
PHASE 1,1,1600,1,19.89165258789749,19.89165258789749,19.89165258789749,42.000000000001485,30.16666666666809,-6.534376759846377,8.17857142857202
PHASE 1,2,2400,2,-17.940993797036334,-55.77364018197016,19.89165258789749,48.08333333333472,16.916666666667986,-10.367624224629807,37.50000000000025
PHASE 1,3,3200,3,48.99894387436007,-55.77364018197016,182.8788192171529,55.222222222223536,33.72222222222343,-4.993187571260456,1.4642857142863899
PHASE 1,4,4000,4,38.6797518515761,-55.77364018197016,182.8788192171529,49.08333333333478,34.41666666666789,-5.602531018552985,0.0
PHASE 1,5,4800,4,38.6797518515761,-55.77364018197016,182.8788192171529,49.08333333333478,34.41666666666789,-5.602531018552986,18.535714285714896
PHASE 1,6,5600,5,38.037609708984576,-55.77364018197016,182.8788192171529,50.633333333334896,28.86666666666789,-5.182798786376961,34.00000000000035
PHASE 1,7,6400,6,52.74816267858986,-55.77364018197016,182.8788192171529,49.333333333334714,36.75000000000123,-4.166896331842823,20.071428571429063
PHASE 1,8,7200,7,43.4145409064195,-55.77364018197016,182.8788192171529,46.5476190476205,36.59523809523916,-4.966039529554634,4.9285714285719555
PHASE 1,9,8000,8,74.9818835151072,-55.77364018197016,295.95328177592114,52.93750000000138,40.00000000000115,-2.2444520606112244,0.0
PHASE 1,10,8800,8,74.9818835151072,-55.77364018197016,295.95328177592114,52.937500000001386,40.00000000000115,-2.2444520606112244,78.25000000000036
PHASE 1,11,9600,9,106.76949463611633,-55.77364018197016,361.0703836041894,60.55555555555694,44.259259259260354,0.2443349776633678,50.750000000000306
PHASE 1,12,10400,10,127.68191534980045,-55.77364018197016,361.0703836041894,67.85000000000139,43.900000000001114,1.9914894187257317,59.25000000000025
PHASE 1,13,11200,11,153.4196356988476,-55.77364018197016,410.7968391893191,76.39393939394074,44.60606060606177,4.052454462356854,16.28571428571469
PHASE 1,14,12000,12,205.62023477488984,-55.77364018197016,779.8268246113544,79.86111111111245,64.80555555555665,7.619196013528072,0.0
PHASE 1,15,12800,12,205.62023477488984,-55.77364018197016,779.8268246113544,79.86111111111245,64.80555555555664,7.619196013528072,97.00000000000026
PHASE 1,16,13600,13,232.24848014164124,-55.77364018197016,779.8268246113544,85.15384615384747,69.78205128205235,9.664072838218264,71.42857142857181
PHASE 1,17,14400,14,246.41559010787878,-55.77364018197016,779.8268246113544,85.02380952381088,72.5476190476201,11.105520192056726,59.17857142857179
PHASE 1,18,15200,15,277.9512471622321,-55.77364018197016,779.8268246113544,87.04444444444582,81.31111111111217,13.699461450834871,31.928571428571733
PHASE 1,19,16000,16,302.38160937614606,-55.77364018197016,779.8268246113544,91.7395833333347,84.57291666666774,15.758638672018371,0.0
PHASE 1,20,16800,16,302.38160937614606,-55.77364018197016,779.8268246113544,91.7395833333347,84.57291666666774,15.758638672018371,136.67857142857167
PHASE 1,21,17600,17,325.0049740294643,-55.77364018197016,779.8268246113544,96.30392156862878,89.4803921568638,17.402582537996565,95.14285714285742
PHASE 1,22,18400,18,351.3236218725913,-55.77364018197016,798.7406352057499,101.11111111111244,96.36111111111215,19.231424956295786,44.25000000000038
PHASE 1,23,19200,19,359.26393185030946,-55.77364018197016,798.7406352057499,103.85964912280834,96.3947368421063,19.876193235674435,16.785714285714725
PHASE 1,24,20000,20,369.8432611301889,-55.77364018197016,798.7406352057499,104.60833333333467,98.08333333333435,20.893949307940126,0.0
PHASE 1,25,20800,20,369.8432611301889,-55.77364018197016,798.7406352057499,104.60833333333467,98.08333333333435,20.893949307940126,115.92857142857174
PHASE 1,26,21600,21,380.3747200143201,-55.77364018197016,798.7406352057499,106.41269841269975,98.64285714285818,21.914895557345332,101.25000000000024
PHASE 1,27,22400,22,397.7411295346644,-55.77364018197016,798.7406352057499,108.7348484848498,103.43939393939499,23.19586088880237,39.392857142857565
PHASE 1,28,23200,23,398.94170706973813,-55.77364018197016,798.7406352057499,109.18115942029117,102.2898550724648,23.4338365721228,22.178571428571868
PHASE 1,29,24000,24,406.3043568406977,-55.77364018197016,798.7406352057499,109.5902777777791,103.93750000000104,24.097072382864766,0.0
PHASE 1,30,24800,24,406.3043568406977,-55.77364018197016,798.7406352057499,109.5902777777791,103.93750000000104,24.097072382864763,154.32142857142878
PHASE 1,31,25600,25,422.1055360755397,-55.77364018197016,801.3338377117466,113.15333333333463,106.70000000000104,25.281525342775414,107.10714285714315
PHASE 1,32,26400,26,432.479996672786,-55.77364018197016,801.3338377117466,118.76923076923202,105.71153846153953,25.99990343025158,61.42857142857181
PHASE 1,33,27200,27,444.1807263543229,-55.77364018197016,801.3338377117466,120.39506172839634,107.46296296296401,27.04033770786996,11.82142857142907
PHASE 1,34,28000,28,449.42113164143166,-55.77364018197016,801.3338377117466,122.30952380952507,106.30357142857251,27.60100455041638,0.0
PHASE 1,35,28800,28,449.42113164143166,-55.77364018197016,801.3338377117466,122.30952380952507,106.30357142857251,27.601004550416377,166.07142857142878
PHASE 1,36,29600,29,466.0235722652898,-55.77364018197016,930.891909733317,126.2931034482771,109.65517241379419,28.759412050401753,122.64285714285734
PHASE 1,37,30400,30,474.37433604873036,-55.77364018197016,930.891909733317,128.64444444444567,110.52777777777884,29.40026422831254,92.3214285714288
PHASE 1,38,31200,31,487.53673565551753,-55.77364018197016,930.891909733317,131.2795698924743,114.09677419354945,30.270048946185927,22.35714285714323
PHASE 1,39,32000,32,497.94281602735555,-55.77364018197016,930.891909733317,133.97395833333454,115.69270833333438,31.034518670084942,0.0
PHASE 1,40,32800,32,497.94281602735555,-55.77364018197016,930.891909733317,133.97395833333454,115.69270833333437,31.034518670084942,92.5000000000003
PHASE 1,41,33600,33,499.996371414733,-55.77364018197016,930.891909733317,133.4040404040416,115.84343434343539,31.343612083406132,82.89285714285745
PHASE 1,42,34400,34,500.04925084239983,-55.77364018197016,930.891909733317,133.5392156862757,115.41666666666772,31.38667106118127,68.35714285714315
PHASE 1,43,35200,35,513.6174338516298,-55.77364018197016,974.9356561654515,136.5285714285726,118.48571428571533,32.325393517166866,18.500000000000405
PHASE 1,44,36000,36,519.8472074294278,-55.77364018197016,974.9356561654515,137.37037037037152,119.63425925926032,32.85532222497354,0.0
PHASE 1,45,36800,36,519.8472074294278,-55.77364018197016,974.9356561654515,137.37037037037152,119.63425925926032,32.85532222497355,219.78571428571442
PHASE 1,46,37600,37,533.982104347928,-55.77364018197016,1042.8383934139367,141.40090090090203,122.36036036036141,33.77760538583209,68.82142857142898
PHASE 1,47,38400,38,534.4834081906619,-55.77364018197016,1042.8383934139367,140.43421052631695,122.39473684210631,33.95680760277884,81.39285714285738
PHASE 1,48,39200,39,541.6748443249676,-55.77364018197016,1042.8383934139367,141.38034188034302,124.65811965812071,34.45454784831193,19.03571428571475
PHASE 1,49,40000,40,556.5552433397443,-55.77364018197016,1136.890804916032,143.88750000000113,128.93333333333436,35.466801250800025,0.0
PHASE 2,0,800,0,,,,,,,191.5262276785716
PHASE 2,1,1600,1,774.4146142709689,774.4146142709689,774.4146142709689,232.66994791666724,150.60828125000083,48.89204813803352,56.42834280831506
PHASE 2,2,2400,2,568.8085667456003,363.2025192202317,774.4146142709689,172.04696289062588,110.06169189453223,35.83748899505386,51.10345615931952
PHASE 2,3,3200,3,568.1995652441932,363.2025192202317,774.4146142709689,161.47950303819542,117.30735026041754,36.17658899319681,22.924034598214625
PHASE 2,4,4000,4,548.049014557959,363.2025192202317,774.4146142709689,159.74261230468846,112.56666015625083,34.4674677621275,0.0
PHASE 2,5,4800,4,548.049014557959,363.2025192202317,774.4146142709689,159.74261230468844,112.56666015625086,34.4674677621275,106.68973772321448
PHASE 2,6,5600,5,520.4143459900498,363.2025192202317,774.4146142709689,155.56039192708423,103.84670312500096,32.625906367245946,130.20712053571447
PHASE 2,7,6400,6,578.066910166909,363.2025192202317,866.3297310512054,163.34793077257032,125.17024739583418,36.19359149981267,63.545435267857385
PHASE 2,8,7200,7,566.0900231084958,363.2025192202317,866.3297310512054,159.67445405506047,124.07180059523891,35.292971057274265,18.339241071428866
PHASE 2,9,8000,8,575.5550629961197,363.2025192202317,866.3297310512054,161.70569417317793,127.78011718750082,35.75865645442957,0.0
